age,age_bin,annualincome,calldroprate,callfailurerate,callingnum,customerid,customersuspended,education,gender,homeowner,maritalstatus,monthlybilledamount,noadditionallines,numberofcomplaints,numberofmonthunpaid,numdayscontractequipmentplanexpiring,occupation,penaltytoswitch,state,totalminsusedinlastmonth,unpaidbalance,usesinternetservice,usesvoiceservice,percentagecalloutsidenetwork,totalcallduration,avgcallduration,churn
45,40-59,116370,0.01,0.02,4251010033,23,Yes,High School or below,Female,Yes,Single,70,\N,1,0,44,Technology Related Job,229,AK,219,144,No,No,0.15,1175,587,0
45,40-59,116370,0.01,0.02,4251010033,23,Yes,High School or below,Female,Yes,Single,70,\N,1,0,44,Technology Related Job,229,AK,219,144,No,No,0.15,5389,598,0
75,60-79,227270,0.07,0.03,4251016886,24,Yes,High School or below,Male,Yes,Single,8,\N,2,6,63,Non-technology Related Job,401,AR,416,159,No,Yes,0.61,4992,998,0
75,60-79,227270,0.07,0.03,4251016886,24,Yes,High School or below,Male,Yes,Single,8,\N,2,6,63,Non-technology Related Job,401,AR,416,159,No,Yes,0.61,4041,505,0
23,20-39,225299,0.01,0,4251045842,25,Yes,Bachelor or equivalent,Male,Yes,Married,15,\N,1,3,3,Technology Related Job,261,MA,419,19,No,No,0.82,3219,643,0
23,20-39,225299,0.01,0,4251045842,25,Yes,Bachelor or equivalent,Male,Yes,Married,15,\N,1,3,3,Technology Related Job,261,MA,419,19,No,No,0.82,3228,645,0
53,40-59,86200,0,0,4251043061,26,Yes,Bachelor or equivalent,Female,Yes,Married,73,\N,2,1,22,Non-technology Related Job,434,MN,116,34,No,No,0.28,5926,592,0
53,40-59,86200,0,0,4251043061,26,Yes,Bachelor or equivalent,Female,Yes,Married,73,\N,2,1,22,Non-technology Related Job,434,MN,116,34,No,No,0.28,1875,625,0
69,60-79,84229,0.02,0.02,4251098247,27,Yes,Bachelor or equivalent,Female,No,Single,81,\N,1,6,62,Technology Related Job,294,SC,119,144,No,No,0.49,7748,704,0
69,60-79,84229,0.02,0.02,4251098247,27,Yes,Bachelor or equivalent,Female,No,Single,81,\N,1,6,62,Technology Related Job,294,SC,119,144,No,No,0.49,6669,833,0
69,60-79,84229,0.02,0.02,4251098247,27,Yes,Bachelor or equivalent,Female,No,Single,81,\N,1,6,62,Technology Related Job,294,SC,119,144,No,No,0.49,405,405,0
31,20-39,195129,0,0.02,4251026170,28,Yes,Master or equivalent,Male,Yes,Married,18,\N,2,4,81,Non-technology Related Job,466,SD,316,159,No,No,0.94,7215,721,0
31,20-39,195129,0,0.02,4251026170,28,Yes,Master or equivalent,Male,Yes,Married,18,\N,2,4,81,Non-technology Related Job,466,SD,316,159,No,No,0.94,1614,807,0
47,40-59,193158,0.02,0,4251011887,29,Yes,High School or below,Female,Yes,Single,26,\N,0,1,21,Technology Related Job,327,DE,320,19,Yes,No,0.15,6115,611,0
47,40-59,193158,0.02,0,4251011887,29,Yes,High School or below,Female,Yes,Single,26,\N,0,1,21,Technology Related Job,327,DE,320,19,Yes,No,0.15,2102,420,0
78,60-79,54058,0,0,4251017032,30,Yes,High School or below,Male,Yes,Single,84,\N,2,7,39,Non-technology Related Job,499,GA,16,34,No,No,0.61,4933,704,0
78,60-79,54058,0,0,4251017032,30,Yes,High School or below,Male,Yes,Single,84,\N,2,7,39,Non-technology Related Job,499,GA,16,34,No,No,0.61,6507,813,0
26,20-39,52087,0.02,0.02,4251029808,31,Yes,High School or below,Male,Yes,Married,91,\N,0,5,80,Technology Related Job,359,NE,20,144,No,No,0.82,2707,541,0
26,20-39,52087,0.02,0.02,4251029808,31,Yes,High School or below,Male,Yes,Married,91,\N,0,5,80,Technology Related Job,359,NE,20,144,No,No,0.82,5199,742,0
26,20-39,52087,0.02,0.02,4251029808,31,Yes,High School or below,Male,Yes,Married,91,\N,0,5,80,Technology Related Job,359,NE,20,144,No,No,0.82,270,270,0
56,40-59,162988,0,0.02,4251040357,32,Yes,High School or below,Female,No,Married,29,\N,1,2,98,Non-technology Related Job,32,NH,217,159,No,No,0.28,3978,795,0
56,40-59,162988,0,0.02,4251040357,32,Yes,High School or below,Female,No,Married,29,\N,1,2,98,Non-technology Related Job,32,NH,217,159,No,No,0.28,3795,759,0
72,60-79,161017,0.02,0,4251093174,33,Yes,High School or below,Female,Yes,Married,37,\N,0,0,39,Technology Related Job,392,VA,220,19,No,Yes,0.49,1596,399,0
72,60-79,161017,0.02,0,4251093174,33,Yes,High School or below,Female,Yes,Married,37,\N,0,0,39,Technology Related Job,392,VA,220,19,No,Yes,0.49,7474,1067,0
34,20-39,21917,0.01,0,4251076747,34,Yes,Bachelor or equivalent,Male,Yes,Married,95,\N,1,5,57,Non-technology Related Job,64,WA,417,34,No,No,0.94,5974,746,0
34,20-39,21917,0.01,0,4251076747,34,Yes,Bachelor or equivalent,Male,Yes,Married,95,\N,1,5,57,Non-technology Related Job,64,WA,417,34,No,No,0.94,3903,975,0
34,20-39,21917,0.01,0,4251076747,34,Yes,Bachelor or equivalent,Male,Yes,Married,95,\N,1,5,57,Non-technology Related Job,64,WA,417,34,No,No,0.94,331,331,0
50,40-59,19946,0.03,0.02,4251068765,35,Yes,Bachelor or equivalent,Female,Yes,Single,102,\N,0,3,98,Technology Related Job,424,IN,420,144,No,No,0.16,2198,732,0
50,40-59,19946,0.03,0.02,4251068765,35,Yes,Bachelor or equivalent,Female,Yes,Single,102,\N,0,3,98,Technology Related Job,424,IN,420,144,No,No,0.16,8067,733,0
13,0-19,130846,0.01,0.02,4251081945,36,Yes,Bachelor or equivalent,Male,Yes,Single,40,\N,1,0,16,Non-technology Related Job,97,KS,117,159,No,No,0.61,3994,998,0
13,0-19,130846,0.01,0.02,4251081945,36,Yes,Bachelor or equivalent,Male,Yes,Single,40,\N,1,0,16,Non-technology Related Job,97,KS,117,159,No,No,0.61,4002,1000,0
13,0-19,130846,0.01,0.02,4251081945,36,Yes,Bachelor or equivalent,Male,Yes,Single,40,\N,1,0,16,Non-technology Related Job,97,KS,117,159,No,No,0.61,1083,1083,0
28,20-39,128875,0.03,0,4251070137,37,Yes,PhD or equivalent,Male,Yes,Married,47,\N,3,6,57,Technology Related Job,457,NC,121,19,No,No,0.82,1384,346,0
28,20-39,128875,0.03,0,4251070137,37,Yes,PhD or equivalent,Male,Yes,Married,47,\N,3,6,57,Technology Related Job,457,NC,121,19,No,No,0.82,4753,950,0
59,40-79,239776,0.01,0,4251075538,38,Yes,High School or below,Female,Yes,Single,105,\N,1,3,75,Non-technology Related Job,129,OH,318,34,No,No,0.28,2849,949,0
59,40-79,239776,0.01,0,4251075538,38,Yes,High School or below,Female,Yes,Single,105,\N,1,3,75,Non-technology Related Job,129,OH,318,34,No,No,0.28,3537,707,0
59,40-79,239776,0.01,0,4251075538,38,Yes,High School or below,Female,Yes,Single,105,\N,1,3,75,Non-technology Related Job,129,OH,318,34,No,No,0.28,2622,1311,0
75,60-79,237805,0.03,0.02,4251098864,39,Yes,High School or below,Female,Yes,Married,113,\N,3,1,16,Technology Related Job,489,AK,321,143,No,No,0.49,3015,603,0
75,60-79,237805,0.03,0.02,4251098864,39,Yes,High School or below,Female,Yes,Married,113,\N,3,1,16,Technology Related Job,489,AK,321,143,No,No,0.49,1514,504,0
37,20-39,98705,0.01,0.02,4251076763,40,Yes,High School or below,Male,Yes,Married,51,\N,0,6,34,Non-technology Related Job,162,AR,18,158,No,No,0.95,5173,862,0
37,20-39,98705,0.01,0.02,4251076763,40,Yes,High School or below,Male,Yes,Married,51,\N,0,6,34,Non-technology Related Job,162,AR,18,158,No,No,0.95,2143,428,0
53,40-59,96734,0.03,0,4251067408,41,Yes,High School or below,Female,No,Single,58,\N,3,4,75,Technology Related Job,22,MD,21,18,No,No,0.16,2614,326,0
53,40-59,96734,0.03,0,4251067408,41,Yes,High School or below,Female,No,Single,58,\N,3,4,75,Technology Related Job,22,MD,21,18,No,No,0.16,2175,1087,0
15,0-19,207635,0.02,0,4251074247,42,Yes,Bachelor or equivalent,Male,Yes,Single,116,\N,0,2,93,Non-technology Related Job,194,MI,218,33,No,No,0.61,5422,1084,1
15,0-19,207635,0.02,0,4251074247,42,Yes,Bachelor or equivalent,Male,Yes,Single,116,\N,0,2,93,Non-technology Related Job,194,MI,218,33,No,No,0.61,2938,734,1
31,20-39,205664,0.04,0.02,4251021408,43,Yes,Bachelor or equivalent,Male,Yes,Single,4,\N,2,7,33,Technology Related Job,54,RI,222,143,No,No,0.82,2916,583,0
31,20-39,205664,0.04,0.02,4251021408,43,Yes,Bachelor or equivalent,Male,Yes,Single,4,\N,2,7,33,Technology Related Job,54,RI,222,143,No,No,0.82,3946,657,0
62,60-79,66564,0.02,0.02,4251086886,44,Yes,Bachelor or equivalent,Female,Yes,Single,62,\N,0,5,52,Non-technology Related Job,227,SD,419,158,No,No,0.28,7311,609,0
62,60-79,66564,0.02,0.02,4251086886,44,Yes,Bachelor or equivalent,Female,Yes,Single,62,\N,0,5,52,Non-technology Related Job,227,SD,419,158,No,No,0.28,582,582,0
62,60-79,66564,0.02,0.02,4251086886,44,Yes,Bachelor or equivalent,Female,Yes,Single,62,\N,0,5,52,Non-technology Related Job,227,SD,419,158,No,No,0.28,1340,1340,0
77,60-79,64593,0.04,0,4251086023,45,Yes,Master or equivalent,Male,Yes,Married,69,\N,2,2,92,Technology Related Job,87,DE,422,18,No,No,0.49,1761,587,0
77,60-79,64593,0.04,0,4251086023,45,Yes,Master or equivalent,Male,Yes,Married,69,\N,2,2,92,Technology Related Job,87,DE,422,18,No,No,0.49,7002,1000,0
40,40-59,175493,0.02,0,4251012570,46,Yes,PhD or equivalent,Female,No,Married,7,\N,3,0,11,Non-technology Related Job,259,GA,119,33,No,Yes,0.95,5350,668,0
40,40-59,175493,0.02,0,4251012570,46,Yes,PhD or equivalent,Female,No,Married,7,\N,3,0,11,Non-technology Related Job,259,GA,119,33,No,Yes,0.95,3806,761,0
56,40-59,173522,0.04,0.02,4251066935,47,Yes,High School or below,Female,No,Single,14,\N,2,5,51,Technology Related Job,120,MT,122,143,No,No,0.16,3793,948,0
56,40-59,173522,0.04,0.02,4251066935,47,Yes,High School or below,Female,No,Single,14,\N,2,5,51,Technology Related Job,120,MT,122,143,No,No,0.16,3670,734,0
18,0-19,34423,0.02,0.02,4251098797,48,Yes,High School or below,Male,Yes,Single,72,\N,3,3,70,Non-technology Related Job,292,NV,319,158,No,No,0.61,7422,530,0
18,0-19,34423,0.02,0.02,4251098797,48,Yes,High School or below,Male,Yes,Single,72,\N,3,3,70,Non-technology Related Job,292,NV,319,158,No,No,0.61,3907,976,0
18,0-19,34423,0.02,0.02,4251098797,48,Yes,High School or below,Male,Yes,Single,72,\N,3,3,70,Non-technology Related Job,292,NV,319,158,No,No,0.61,867,867,0
34,20-39,32452,0.04,0,4251056800,49,Yes,High School or below,Male,Yes,Single,80,\N,2,0,10,Technology Related Job,152,VT,323,18,No,No,0.83,6501,812,0
34,20-39,32452,0.04,0,4251056800,49,Yes,High School or below,Male,Yes,Single,80,\N,2,0,10,Technology Related Job,152,VT,323,18,No,No,0.83,1937,484,0
64,60-79,143352,0.03,0,4251010715,50,Yes,High School or below,Female,Yes,Single,18,\N,3,6,29,Non-technology Related Job,325,WA,20,33,No,No,0.28,2851,950,0
64,60-79,143352,0.03,0,4251010715,50,Yes,High School or below,Female,Yes,Single,18,\N,3,6,29,Non-technology Related Job,325,WA,20,33,No,No,0.28,4723,674,0
64,60-79,143352,0.03,0,4251010715,50,Yes,High School or below,Female,Yes,Single,18,\N,3,6,29,Non-technology Related Job,325,WA,20,33,No,No,0.28,862,862,0
67,60-79,198309,0.06,0,4251036375,51,Yes,Bachelor or equivalent,Female,No,Married,109,\N,0,0,98,Non-technology Related Job,1,SC,119,68,No,No,0.81,4356,622,0
67,60-79,198309,0.06,0,4251036375,51,Yes,Bachelor or equivalent,Female,No,Married,109,\N,0,0,98,Non-technology Related Job,1,SC,119,68,No,No,0.81,3844,427,0
14,0-19,196338,0,0.02,4251094710,52,Yes,Bachelor or equivalent,Female,No,Single,116,\N,3,5,39,Technology Related Job,361,CO,122,178,No,No,0.02,1603,400,0
14,0-19,196338,0,0.02,4251094710,52,Yes,Bachelor or equivalent,Female,No,Single,116,\N,3,5,39,Technology Related Job,361,CO,122,178,No,No,0.02,964,482,0
45,40-59,57239,0.07,0.02,4251034334,53,Yes,Bachelor or equivalent,Male,Yes,Single,54,\N,0,3,57,Non-technology Related Job,33,DE,319,193,No,No,0.48,4873,812,0
45,40-59,57239,0.07,0.02,4251034334,53,Yes,Bachelor or equivalent,Male,Yes,Single,54,\N,0,3,57,Non-technology Related Job,33,DE,319,193,No,No,0.48,4273,1068,0
61,60-79,55268,0.01,0.03,4251094629,54,Yes,Master or equivalent,Female,Yes,Married,61,\N,2,1,97,Technology Related Job,393,MO,322,53,No,No,0.69,6260,894,0
61,60-79,55268,0.01,0.03,4251094629,54,Yes,Master or equivalent,Female,Yes,Married,61,\N,2,1,97,Technology Related Job,393,MO,322,53,No,No,0.69,7081,885,0
61,60-79,55268,0.01,0.03,4251094629,54,Yes,Master or equivalent,Female,Yes,Married,61,\N,2,1,97,Technology Related Job,393,MO,322,53,No,No,0.69,773,386,0
23,20-39,166168,0.07,0,4251096800,55,Yes,PhD or equivalent,Male,Yes,Single,119,\N,0,6,16,Non-technology Related Job,66,NE,19,68,No,Yes,0.15,4982,996,0
23,20-39,166168,0.07,0,4251096800,55,Yes,PhD or equivalent,Male,Yes,Single,119,\N,0,6,16,Non-technology Related Job,66,NE,19,68,No,Yes,0.15,996,332,0
39,20-59,164197,0.01,0.01,4251021021,56,Yes,High School or below,Male,Yes,Married,7,\N,2,4,56,Technology Related Job,426,UT,23,178,No,No,0.36,3399,566,0
39,20-59,164197,0.01,0.01,4251021021,56,Yes,High School or below,Male,Yes,Married,7,\N,2,4,56,Technology Related Job,426,UT,23,178,No,No,0.36,5970,852,0
69,60-79,25098,0.07,0.02,4251009252,57,Yes,High School or below,Female,Yes,Married,65,\N,3,1,75,Non-technology Related Job,98,VA,220,193,No,No,0.81,5120,1024,0
69,60-79,25098,0.07,0.02,4251009252,57,Yes,High School or below,Female,Yes,Married,65,\N,3,1,75,Non-technology Related Job,98,VA,220,193,No,No,0.81,3488,581,0
17,0-19,23127,0.01,0.03,4251079065,58,Yes,High School or below,Female,Yes,Single,72,\N,2,7,15,Technology Related Job,459,ID,223,53,No,No,0.02,2541,635,0
17,0-19,23127,0.01,0.03,4251079065,58,Yes,High School or below,Female,Yes,Single,72,\N,2,7,15,Technology Related Job,459,ID,223,53,No,No,0.02,1979,659,0
48,40-59,134027,0.07,0,4251047459,59,Yes,High School or below,Male,Yes,Single,10,\N,3,4,34,Non-technology Related Job,131,IN,420,68,No,No,0.48,2094,418,1
48,40-59,134027,0.07,0,4251047459,59,Yes,High School or below,Male,Yes,Single,10,\N,3,4,34,Non-technology Related Job,131,IN,420,68,No,No,0.48,4678,779,1
64,60-79,132056,0.01,0.01,4251063562,60,Yes,Bachelor or equivalent,Female,No,Single,18,\N,2,2,74,Technology Related Job,491,NM,423,178,No,No,0.69,1248,416,0
64,60-79,132056,0.01,0.01,4251063562,60,Yes,Bachelor or equivalent,Female,No,Single,18,\N,2,2,74,Technology Related Job,491,NM,423,178,No,No,0.69,2401,1200,0
26,20-39,242956,0,0.02,4251013339,61,Yes,Bachelor or equivalent,Male,Yes,Single,75,\N,3,7,93,Non-technology Related Job,164,NC,120,193,No,No,0.15,4894,699,0
26,20-39,242956,0,0.02,4251013339,61,Yes,Bachelor or equivalent,Male,Yes,Single,75,\N,3,7,93,Non-technology Related Job,164,NC,120,193,No,No,0.15,4258,532,0
26,20-39,242956,0,0.02,4251013339,61,Yes,Bachelor or equivalent,Male,Yes,Single,75,\N,3,7,93,Non-technology Related Job,164,NC,120,193,No,No,0.15,1433,1433,0
42,40-59,240985,0.02,0.03,4251043629,62,Yes,Master or equivalent,Male,Yes,Married,83,\N,1,5,33,Technology Related Job,24,WY,124,53,No,No,0.36,7318,731,0
42,40-59,240985,0.02,0.03,4251043629,62,Yes,Master or equivalent,Male,Yes,Married,83,\N,1,5,33,Technology Related Job,24,WY,124,53,No,No,0.36,3930,786,0
72,60-79,101886,0,0,4251029008,63,Yes,Master or equivalent,Female,Yes,Married,21,\N,2,2,52,Non-technology Related Job,196,AK,321,68,No,No,0.81,2422,807,0
72,60-79,101886,0,0,4251029008,63,Yes,Master or equivalent,Female,Yes,Married,21,\N,2,2,52,Non-technology Related Job,196,AK,321,68,No,No,0.81,4606,1151,0
72,60-79,101886,0,0,4251029008,63,Yes,Master or equivalent,Female,Yes,Married,21,\N,2,2,52,Non-technology Related Job,196,AK,321,68,No,No,0.81,222,222,0
20,20-39,99915,0.02,0.01,4251074288,64,Yes,High School or below,Female,Yes,Single,28,\N,1,0,92,Technology Related Job,56,LA,324,178,No,Yes,0.03,5519,919,0
20,20-39,99915,0.02,0.01,4251074288,64,Yes,High School or below,Female,Yes,Single,28,\N,1,0,92,Technology Related Job,56,LA,324,178,No,Yes,0.03,3209,458,0
50,40-59,210815,0,0.02,4251034446,65,No,High School or below,Male,No,Married,86,\N,2,6,11,Non-technology Related Job,229,MD,21,193,No,No,0.48,3286,657,0
50,40-59,210815,0,0.02,4251034446,65,No,High School or below,Male,No,Married,86,\N,2,6,11,Non-technology Related Job,229,MD,21,193,No,No,0.48,3688,737,0
66,60-79,208844,0.02,0.03,4251087741,66,Yes,High School or below,Female,No,Single,94,\N,1,3,51,Non-technology Related Job,89,OR,24,53,Yes,No,0.69,4067,1016,0
66,60-79,208844,0.02,0.03,4251087741,66,Yes,High School or below,Female,No,Single,94,\N,1,3,51,Non-technology Related Job,89,OR,24,53,Yes,No,0.69,2319,773,0
29,20-39,69744,0,0,4251013661,67,Yes,High School or below,Male,Yes,Single,32,\N,2,1,70,Non-technology Related Job,261,RI,221,68,No,No,0.15,5147,643,0
29,20-39,69744,0,0,4251013661,67,Yes,High School or below,Male,Yes,Single,32,\N,2,1,70,Non-technology Related Job,261,RI,221,68,No,No,0.15,5823,582,0
45,40-59,67773,0.02,0.01,4251053518,68,Yes,Bachelor or equivalent,Male,Yes,Married,39,\N,0,6,10,Non-technology Related Job,121,CO,225,178,No,No,0.36,5234,872,0
45,40-59,67773,0.02,0.01,4251053518,68,Yes,Bachelor or equivalent,Male,Yes,Married,39,\N,0,6,10,Non-technology Related Job,121,CO,225,178,No,No,0.36,4123,824,0
75,60-79,178674,0.01,0.02,4251039721,69,Yes,Bachelor or equivalent,Female,Yes,Married,97,\N,2,4,29,Non-technology Related Job,294,DE,422,193,No,No,0.82,3129,782,0
75,60-79,178674,0.01,0.02,4251039721,69,Yes,Bachelor or equivalent,Female,Yes,Married,97,\N,2,4,29,Non-technology Related Job,294,DE,422,193,No,No,0.82,4858,971,0
